0.08469,0.054624,0.049873,0.049431
0.33371,0.33371,0.33371,0.33371
0.11292,0.11234,0.11216,0.11213
0.08378,0.079047,0.074869,0.073174
0.23863,0.23863,0.23863,0.23863
0.11485,0.11485,0.11485,0.11485
0.023449,0.023449,0.023449,0.023449
0.15746,0.15726,0.15723,0.15723
0.12942,0.1291,0.12906,0.12905
0.10031,0.099519,0.099149,0.099074
0.08705,0.085754,0.084193,0.083353
0.085146,0.081029,0.077246,0.075657
0.075041,0.050811,0.048038,0.047865
0.066718,0.048175,0.046719,0.046662
0.34061,0.31832,0.29037,0.27458
0.33735,0.33735,0.33735,0.33735
0.26069,0.26069,0.26069,0.26069
0.11775,0.11775,0.11775,0.11775
0.15799,0.15799,0.15799,0.15799
0.002868,0.002868,0.002868,0.002868
