	
200		5.67E-03
200.004	5.67E-03
200.008	5.67E-03
200.012	5.67E-03
200.016	4.56E-03
200.02	3.98E-03
200.024	3.16E-03
200.028	2.77E-03
200.032	2.97E-03
200.036	2.81E-03
200.04	2.75E-03
200.044	3.29E-03
200.048	3.89E-03
200.052	3.90E-03
200.056	7.90E-03
200.06	7.89E-03
200.064	7.88E-03
200.068	7.87E-03
200.072	7.87E-03
200.076	7.86E-03
200.08	7.85E-03
200.084	7.84E-03
200.088	7.84E-03
200.092	7.83E-03
200.096	7.82E-03
200.1001	7.81E-03
200.1041	7.80E-03
200.1081	7.80E-03
200.1121	7.79E-03
200.1161	7.78E-03
200.1201	7.77E-03
200.1241	7.77E-03
200.1281	7.76E-03
200.1321	7.75E-03
200.1361	7.74E-03
200.1401	7.74E-03
200.1441	7.73E-03
200.1481	7.72E-03
200.1521	7.71E-03
200.1561	7.71E-03
200.1601	7.70E-03
200.1641	7.69E-03
200.1681	7.68E-03
200.1721	7.67E-03
200.1762	7.67E-03
200.1802	7.66E-03
200.1842	7.65E-03
200.1882	7.64E-03
200.1922	7.64E-03
200.1962	7.63E-03
200.2002	7.62E-03
200.2042	7.61E-03
200.2082	7.61E-03
200.2122	7.62E-03
200.2162	7.62E-03
200.2202	7.63E-03
200.2243	7.63E-03
200.2283	7.64E-03
200.2323	7.64E-03
200.2363	7.65E-03
200.2403	7.65E-03
200.2443	7.66E-03
200.2483	7.66E-03
200.2523	7.67E-03
200.2563	7.68E-03
200.2603	7.68E-03
200.2643	7.69E-03
200.2684	7.69E-03
200.2724	7.70E-03
200.2764	7.70E-03
200.2804	7.71E-03
200.2844	7.71E-03
200.2884	7.72E-03
200.2924	7.72E-03
200.2964	7.73E-03
200.3005	7.74E-03
200.3045	7.74E-03
200.3085	7.75E-03
200.3125	7.75E-03
200.3165	7.76E-03
200.3205	7.76E-03
200.3245	7.77E-03
200.3285	7.77E-03
200.3326	7.78E-03
200.3366	7.79E-03
200.3406	7.79E-03
200.3446	7.80E-03
200.3486	7.80E-03
200.3526	7.81E-03
200.3566	7.81E-03
200.3606	7.82E-03
200.3647	7.82E-03
200.3687	7.82E-03
200.3727	7.82E-03
200.3767	7.82E-03
200.3807	7.82E-03
200.3847	7.82E-03
200.3888	7.83E-03
200.3928	7.83E-03
200.3968	7.83E-03
200.4008	7.83E-03
200.4048	7.83E-03
200.4088	7.83E-03
200.4129	7.83E-03
200.4169	7.84E-03
200.4209	7.84E-03
200.4249	7.84E-03
200.4289	7.84E-03
200.4329	7.84E-03
200.437	7.84E-03
200.441	7.84E-03
200.445	7.85E-03
200.449	7.85E-03
200.453	7.85E-03
200.457	7.85E-03
200.4611	7.85E-03
200.4651	7.85E-03
200.4691	7.85E-03
200.4731	7.85E-03
200.4771	7.86E-03
200.4812	7.86E-03
200.4852	7.86E-03
200.4892	7.86E-03
200.4932	7.86E-03
200.4972	7.86E-03
200.5013	7.86E-03
200.5053	7.87E-03
200.5093	7.87E-03
200.5133	7.87E-03
200.5173	7.87E-03
200.5214	7.88E-03
200.5254	7.88E-03
200.5294	7.88E-03
200.5334	7.89E-03
200.5374	7.89E-03
200.5415	7.89E-03
200.5455	7.90E-03
200.5495	7.90E-03
200.5535	7.90E-03
200.5576	7.91E-03
200.5616	7.91E-03
200.5656	7.91E-03
200.5696	7.92E-03
200.5736	7.92E-03
200.5777	7.92E-03
200.5817	7.93E-03
200.5857	7.93E-03
200.5897	7.93E-03
200.5938	7.94E-03
200.5978	7.94E-03
200.6018	7.94E-03
200.6058	7.95E-03
200.6099	7.95E-03
200.6139	7.96E-03
200.6179	7.96E-03
200.6219	7.96E-03
200.626	7.97E-03
200.63	7.97E-03
200.634	7.97E-03
200.638	7.98E-03
200.6421	7.98E-03
200.6461	7.98E-03
200.6501	7.99E-03
200.6541	7.99E-03
200.6582	7.99E-03
200.6622	8.00E-03
200.6662	8.00E-03
200.6702	8.00E-03
200.6743	8.00E-03
200.6783	8.01E-03
200.6823	8.01E-03
200.6863	8.01E-03
200.6904	8.02E-03
200.6944	8.02E-03
