0.02495,0.022249,0.020525,0.019426
0.34614,0.34951,0.35198,0.35377
0.025146,0.021055,0.018923,0.017814
0.036677,0.032965,0.030798,0.029536
0.24567,0.24881,0.25138,0.25346
0.11746,0.11888,0.12012,0.12118
0.023227,0.023624,0.023986,0.024317
0.023456,0.019681,0.017884,0.017031
0.024463,0.020439,0.018417,0.017403
0.025655,0.021587,0.019402,0.018231
0.034946,0.031089,0.028901,0.027661
0.03632,0.032568,0.030394,0.029137
0.023189,0.020562,0.018858,0.017754
0.022065,0.019521,0.017856,0.016769
0.31787,0.31997,0.32141,0.32239
0.34579,0.34913,0.35158,0.35337
0.33903,0.34248,0.34504,0.34695
0.32871,0.33219,0.33482,0.33679
0.32561,0.32911,0.33174,0.33371
0.12545,0.12695,0.12821,0.12925
